date,bera_cumret,xbi_cumret
2023-04-03,0.0,0.0
2023-04-04,-0.14999999999998348,-1.933553526326015
2023-04-05,-1.2957442787340234,-2.1801098972266675
2023-04-06,-0.9024748390886073,-0.24656633438447928
2023-04-10,-0.434778079044551,-1.1808920307074589
2023-04-11,-0.6850917004555535,-0.23359387843553403
2023-04-12,-0.5576521110580712,-1.3106564441322521
2023-04-13,3.9607467303815813,3.075528189186638
2023-04-14,3.2195924287297117,1.4663956599064498
2023-04-17,6.3277161160963935,6.189963782736263
2023-04-18,6.3381842772301855,5.5411317521284476
2023-04-19,8.76492231076953,6.864770615693483
2023-04-20,7.299157768056563,4.619778511754413
2023-04-21,9.376168773542993,6.760951114166569
2023-04-24,8.164475183166541,5.398384919270871
2023-04-25,6.71904538391439,3.8281797213213675
2023-04-26,5.9945676017678196,2.9717086876597243
2023-04-27,7.437318214874855,2.2579844868556798
2023-04-28,9.454677266156919,4.074726128738182
2023-05-01,10.37323908353487,6.5014222873169825
2023-05-02,8.360643181299011,3.464841356428683
2023-05-03,12.713189592508755,7.980790403172366
2023-05-04,13.832610157081815,8.980008269691586
2023-05-05,18.72645633812966,10.796789765509418
2023-05-08,18.733856572786966,10.303657096740437
2023-05-09,19.17084090903447,11.484579017899389
2023-05-10,19.32252577557696,13.262373401483574
2023-05-11,20.49950121016333,11.614323504356538
2023-05-12,22.1254696869996,10.86167197222181
2023-05-15,19.90014579907633,13.612759237394956
2023-05-16,18.186374769155368,10.342584428071122
2023-05-17,21.191441876452743,11.263927704961318
2023-05-18,19.068937516185215,9.953291187796731
2023-05-19,20.62990512629781,10.783807346076625
2023-05-22,25.540561061789834,13.508959662835718
2023-05-23,24.0160598872464,13.53490457473361
2023-05-24,21.481299130652864,11.328829838641386
2023-05-25,17.292064490476868,8.42201332117789
2023-05-26,15.188789476520004,9.40826869523197
2023-05-30,12.75534789917856,7.889953321078247
2023-05-31,12.04098960976976,8.902133680062562
2023-06-01,13.787468646946044,10.407476598267351
2023-06-02,16.49249517145588,12.159336033437462
2023-06-05,16.657435848551707,12.522694325297778
2023-06-06,17.644744913743505,14.352458240548383
2023-06-07,17.828995503626622,14.469240234540415
2023-06-08,19.372497161413694,14.352458240548383
2023-06-09,18.282675140839277,13.755516033736349
2023-06-12,16.96681462152703,14.988307851723427
2023-06-13,19.139847897826478,17.090573049772573
2023-06-14,18.399460619703923,15.351666143583763
2023-06-15,18.971977758498593,15.740989274309648
2023-06-16,17.85765569564679,13.768488489685303
2023-06-20,20.980863598548538,13.733446917049008
2023-06-21,20.090088462897036,13.11053987137143
2023-06-22,20.932770630257068,12.370830904734142
2023-06-23,16.511236120706396,10.46317247288686
2023-06-26,22.97430542051455,7.932567141426672
2023-06-27,27.319289249803735,7.608136180897018
2023-06-28,27.92206965552886,8.983744576128494
2023-06-29,27.199087435900182,7.218832977138789
2023-06-30,28.94041399120162,7.971504436241172
2023-07-03,27.418060968007406,7.6341010197625625
2023-07-05,28.6616603401346,7.724938101856704
2023-07-06,26.80209291010085,6.050883511928773
2023-07-07,28.59561840396121,6.128718247622467
2023-07-10,30.23484953468587,9.308175536658148
2023-07-11,28.030951411856297,8.789087992507461
2023-07-12,28.18695548752903,10.021939591397523
2023-07-13,30.176329630087896,9.892165214488902
2023-07-14,32.16885249482581,9.554751834526453
2023-07-17,35.29775438788116,11.293718521618267
2023-07-18,35.67609337832527,11.060114679698895
2023-07-19,37.28274037807302,11.293718521618267
2023-07-20,34.455587637612275,9.437939950082953
2023-07-21,34.59263006210536,10.268505925782012
2023-07-24,27.29124595054624,8.257008065440164
2023-07-25,27.735160176466465,7.9196046489615535
2023-07-26,29.12640555513768,7.776857816103977
2023-07-27,28.025289538311494,6.11574579167351
